File Name,Credit Card,Dl Nums,DOB,Emails,Ip_add,Mac Address,Phone Number,SSN Nums,VIN Nums,Non Compliance Elemets
CA 47 (2)DigiPlex_Risk  Opportunity Register 010919 Master  Review.xlsx,0000000000000004,0000000000,01/04/2019,,,,2.0 4.0 8.0 12.0 16.0,000000000,,5
,,,30/04/2019,,,,100.0 1000.0 1000.0 1.0 1000.0 12.0 12000.0,,,
,,,01/04/2019,,,,42430.0 42889.0,,,
,,,30/06/2019,,,,2.0 4.0 8.0 12.0 16.0,,,
,,,30/06/2019,,,,100.0 1000.0 1000.0 5.0 1000.0 12.0 12000.0,,,
,,,15/09/2019,,,,42430.0 42899.0,,,
,,,30/06/2020,,,,2018 1.0 5.0 20.0 100.0 1000.0,,,
,,,31/03/2019,,,,20.0 20.0 1000.0 20.0 1000.0 12.0 12000.0,,,
,,,,,,,42430.0 42886.0,,,
,,,,,,,100.0 100.0 1000.0 20.0 1000.0 12.0 12000.0,,,
,,,,,,,42430.0 42856.0,,,
,,,,,,,3 100.0 100.0 1000.0 5.0 1000.0 12.0 12000.0,,,
,,,,,,,43101.0 43160.0,,,
,,,,,,,2 100.0 100.0 1000.0 5.0 1000.0 12.0 12000.0,,,
,,,,,,,43101.0 43191.0,,,
,,,,,,,100.0 100.0 1000.0 5.0 1000.0 8.0 8000.0,,,
,,,,,,,42430.0 42886.0,,,
,,,,,,,100.0 100.0 100.0 1000.0 1000.0 8.0 8000.0,,,
,,,,,,,42430.0 42856.0,,,
,,,,,,,2 100.0 100.0 1000.0 5.0 1000.0 8.0 8000.0,,,
,,,,,,,43108.0 43132.0,,,
,,,,,,,2 100.0 100.0 1000.0 5.0 1000.0 8.0 8000.0,,,
,,,,,,,43101.0 43282.0,,,
,,,,,,,100.0 100.0 20.0 1.0 100.0 12.0 1200.0,,,
,,,,,,,42430.0 42899.0,,,
,,,,,,,20.0 100.0 20.0 20.0 100.0 8.0 800.0,,,
,,,,,,,42430.0 42856.0,,,
,,,,,,,1 100.0 100.0 20.0 20.0 100.0 8.0 800.0,,,
,,,,,,,42887.0 43252.0,,,
,,,,,,,100.0 100.0 20.0 5.0 100.0 4.0 400.0,,,
,,,,,,,43101.0 43221.0,,,
,,,,,,,5.0 1.0 20.0 1.0 20.0 12.0 240.0,,,
,,,,,,,42430.0 42899.0,,,
,,,,,,,100.0 100.0 20.0 1.0 100.0 2.0 200.0,,,
,,,,,,,43101.0 43252.0,,,
,,,,,,,20.0 20.0 5.0 20.0 20.0 8.0 160.0,,,
,,,,,,,42430.0 42856.0,,,
,,,,,,,20.0 20.0 20.0 5.0 20.0 4.0 80.0,,,
,,,,,,,42430.0 42899.0,,,
,,,,,,,20.0 100.0 100.0 20.0 20.0 4.0 80.0,,,
,,,,,,,100.0 5.0 100.0 20.0 20.0 100.0 4.0 400.0,,,
,,,,,,,4.0 100.0 400.0,,,
,,,,,,,42130.0 43160.0 1.0,,,
,,,,,,,2.0 4.0 8.0 12.0 16.0,,,
,,,,,,,100.0 20.0 100.0 5.0 1.0 100.0 16.0 1600.0,,,
,,,,,,,8.0 100.0 800.0,,,
,,,,,,,42130.0 43466.0 1.0 5.0 20.0 100.0 1000.0,,,
,,,,,,,100.0 100.0 100.0 1000.0 100.0 1000.0 2.0 2000.0,,,
,,,,,,,100.0 100.0 100.0 1000.0 100.0 1000.0 16.0 16000.0,,,
,,,,,,,100.0 100.0 20.0 1000.0 100.0 1000.0 2.0 2000.0,,,
,,,,,,,1 100.0 100.0 20.0 1000.0 100.0 1000.0 2.0 2000.0,,,
,,,,,,,1 100.0 100.0 100.0 1000.0 100.0 1000.0 12.0 12000.0,,,
,,,,,,,4.0 1000.0 4000.0,,,
,,,,,,,22 100.0 100.0 1000.0 5.0 100.0 1000.0 4.0 4000.0,,,
,,,,,,,4.0 1000.0 4000.0,,,
,,,,,,,42130.0 43466.0,,,
,,,,,,,100.0 100.0 5.0 100.0 5.0 100.0 4.0 400.0,,,
,,,,,,,19 4.0 100.0 400.0,,,
,,,,,,,43361.0 43466.0,,,
,,,,,,,100.0 1000.0 100.0 100.0 5.0 1000.0 4.0 4000.0,,,
,,,,,,,43361.0 43466.0,,,
,,,,,,,100.0 100.0 5.0 100.0 5.0 100.0 4.0 400.0,,,
,,,,,,,43361.0 43466.0,,,
,,,,,,,365 100.0 100.0 5.0 100.0 5.0 100.0 4.0 400.0,,,
,,,,,,,43361.0 43466.0,,,
,,,,,,,100.0 100.0 5.0 100.0 5.0 100.0 4.0 400.0,,,
,,,,,,,43361.0 43466.0,,,
,,,,,,,100.0 100.0 5.0 100.0 5.0 100.0 4.0 400.0,,,
,,,,,,,43361.0 43466.0,,,
,,,,,,,100.0 100.0 5.0 100.0 5.0 100.0 4.0 400.0,,,
,,,,,,,43361.0 43374.0 43466.0,,,
,,,,,,,100.0 100.0 100.0 1000.0 5.0 1000.0 4.0 4000.0,,,
,,,,,,,43361.0 43466.0,,,
,,,,,,,100.0 100.0 100.0 1000.0 5.0 1000.0 12.0 12000.0,,,
,,,,,,,43361.0 43466.0,,,
,,,,,,,100.0 100.0 100.0 1000.0 5.0 1000.0 12.0 12000.0,,,
,,,,,,,43361.0 43466.0,,,
,,,,,,,1 100.0 1000.0 5.0 100.0 5.0 1000.0 8.0 8000.0,,,
,,,,,,,43361.0 43466.0,,,
,,,,,,,1 100.0 100.0 5.0 100.0 5.0 100.0 8.0 800.0,,,
,,,,,,,43361.0 43456.0 43466.0,,,
,,,,,,,100.0 100.0 5.0 1000.0 5.0 1000.0 8.0 8000.0,,,
,,,,,,,43361.0 43466.0,,,
,,,,,,,100.0 100.0 5.0 1000.0 5.0 1000.0 8.0 8000.0,,,
,,,,,,,43361.0 43466.0,,,
,,,,,,,100.0 100.0 5.0 100.0 5.0 100.0 8.0 800.0,,,
,,,,,,,43361.0 43466.0,,,
,,,,,,,100.0 100.0 5.0 1000.0 5.0 1000.0 8.0 8000.0,,,
,,,,,,,43726.0 43466.0,,,
,,,,,,,1 100.0 100.0 5.0 100.0 5.0 100.0 4.0 400.0,,,
,,,,,,,43361.0 43455.0 43466.0,,,
,,,,,,,20.0 5.0 5.0 20.0 5.0 20.0 4.0 80.0,,,
,,,,,,,4.0 20.0 80.0,,,
,,,,,,,42130.0 42705.0 43160.0 2.0,,,
,,,,,,,100.0 1000.0 5.0 100.0 1.0 1000.0 8.0 8000.0,,,
,,,,,,,4.0 1000.0 4000.0,,,
,,,,,,,42130.0 43466.0,,,
,,,,,,,100.0 20.0 100.0 5.0 5.0 100.0 4.0 400.0,,,
,,,,,,,8.0 100.0 800.0,,,
,,,,,,,42130.0 43160.0,,,
,,,,,,,5.0 1000.0 100.0 100.0 100.0 1000.0 4.0 4000.0,,,
,,,,,,,4.0 1000.0 4000.0,,,
,,,,,,,42130.0 43466.0,,,
,,,,,,,5.0 20.0 20.0 20.0 20.0 20.0 4.0 80.0 4.0 20.0 80.0,,,
,,,,,,,42130.0 43525.0 43160.0,,,
,,,,,,,5.0 20.0 20.0 20.0 20.0 20.0 12.0 240.0,,,
,,,,,,,4.0 20.0 80.0,,,
,,,,,,,42130.0 42614.0 43160.0,,,
,,,,,,,5.0 100.0 20.0 20.0 100.0 100.0 4.0 400.0,,,
,,,,,,,4.0 100.0 400.0,,,
,,,,,,,43525.0 42614.0,,,
,,,,,,,5.0 20.0 20.0 20.0 100.0 100.0 2.0 200.0 4.0 100.0 400.0,,,
,,,,,,,42130.0 43160.0 43160.0,,,
,,,,,,,5.0 5.0 1.0 20.0 5.0 20.0 4.0 80.0,,,
,,,,,,,4.0 20.0 80.0,,,
,,,,,,,42130.0 42614.0 43160.0,,,
,,,,,,,1.0 20.0 20.0 1.0 20.0 20.0 4.0 80.0 4.0 20.0 80.0,,,
,,,,,,,42130.0 43160.0 43160.0,,,
,,,,,,,5.0 20.0 20.0 20.0 20.0 20.0 2.0 40.0,,,
,,,,,,,10 4.0 20.0 80.0,,,
,,,,,,,42130.0 43160.0 43160.0,,,
,,,,,,,20.0 1.0 100.0 100.0 20.0 100.0 2.0 200.0,,,
,,,,,,,8.0 100.0 800.0,,,
,,,,,,,42130.0 43160.0,,,
,,,,,,,5.0 1.0 20.0 20.0 5.0 20.0 4.0 80.0,,,
,,,,,,,4.0 20.0 80.0,,,
,,,,,,,42130.0 43160.0 43160.0,,,
,,,,,,,20.0 1000.0 20.0 5.0 1.0 1000.0 4.0 4000.0,,,
,,,,,,,4.0 1000.0 4000.0,,,
,,,,,,,42130.0 43160.0,,,
,,,,,,,8 399.99999999,,,
,,,,,,,100.0 100.0 100.0 100.0 100.0 100.0 4.0 400.0 4.0 100.0 400.0,,,
,,,,,,,42130.0 43160.0,,,
,,,,,,,8 399.99999998,,,
,,,,,,,5.0 20.0 100.0 20.0 5.0 100.0 4.0 400.0,,,
,,,,,,,4.0 100.0 400.0,,,
,,,,,,,42130.0 43160.0,,,
,,,,,,,3.0000000000000004,,,
,,,,,,,8 3999.99999997,,,
