File Name,Credit Card,Dl Nums,DOB,Emails,Ip_add,Mac Address,Phone Number,SSN Nums,VIN Nums,Non Compliance Elemets
CA49 (2)DigiPlex_AssetRiskRegister revised 07 05-2019-DNAS DRAS_.xlsx,,,,,,,1.0 4.0 1.0 4.0,,,1
,,,,,,,42410.0 43592.0 43922.0 2.0,,,
,,,,,,,1.0 3.0 5.0 5.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,1.0 4.0 5.0 5.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,1.0 4.0 5.0 5.0,,,
,,,,,,,42410.0 43592.0   43922.0,,,
,,,,,,,1.0 3.0 1.0 3.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,1.0 1.0 3.0 3.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,1.0 1.0 3.0 3.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,1.0 5.0 3.0 5.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,1.0 1.0 3.0 3.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,1.0 2.0 3.0 3.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,3.0 1.0 1.0 3.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,5.0 2.0 1.0 5.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,4.0 5.0 1.0 5.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,4.0 3.0 2.0 4.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,4.0 2.0 2.0 4.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,5.0 5.0 5.0 5.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,1.0 3.0 5.0 5.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,1.0 1.0 1.0 1.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,3.0 1.0 5.0 5.0,,,
,,,,,,,42410.0 43592.0 43922.0,,,
,,,,,,,2.0 3.0 4.0,,,
,,,,,,,1.0 2.0 3.0 4.0 5.0,,,
,,,,,,,41920.0 43586.0 43952.0 4.0,,,
,,,,,,,1.0 5.0 5.0 5.0,,,
,,,,,,,1.0 5.0 5.0 5.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,1.0 5.0 5.0,,,
,,,,,,,1.0 5.0 5.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,1.0 5.0 5.0 5.0,,,
,,,,,,,1.0 5.0 5.0 5.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,12.7.1 1.0 5.0 5.0,,,
,,,,,,,1.0 5.0 5.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,11.2.4 1.0 5.0 5.0 5.0,,,
,,,,,,,1.0 5.0 5.0 5.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,12.7.1 1.0 5.0 5.0,,,
,,,,,,,1.0 5.0 5.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,11.2.4 1.0 3.0 3.0 3.0,,,
,,,,,,,1.0 3.0 3.0 3.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,12.7.1 1.0 3.0 3.0,,,
,,,,,,,1.0 3.0 3.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,11.2.4 1.0 3.0 3.0 3.0,,,
,,,,,,,1.0 3.0 3.0 3.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,12.7.1 1.0 3.0 3.0,,,
,,,,,,,1.0 3.0 3.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,11.2.4 1.0 3.0 3.0 3.0,,,
,,,,,,,1.0 3.0 3.0 3.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,12.7.1 1.0 3.0 3.0,,,
,,,,,,,1.0 3.0 3.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,11.2.4 1.0 5.0 5.0 5.0,,,
,,,,,,,1.0 5.0 5.0 5.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,12.7.1 1.0 5.0 5.0,,,
,,,,,,,1.0 5.0 5.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,11.2.4 1.0 3.0 3.0 5.5,,,
,,,,,,,1.0 3.0 3.0 5.5,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,12.7.1 2.0 3.0 6.0,,,
,,,,,,,2.0 3.0 6.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,2.0 3.0 6.0,,,
,,,,,,,2.0 3.0 6.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,2.0 3.0 6.0,,,
,,,,,,,2.0 3.0 6.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,11.2.1 2.0 3.0 6.0,,,
,,,,,,,2.0 3.0 6.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,11.2.3 2.0 3.0 6.0,,,
,,,,,,,2.0 3.0 6.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,11.2.4 2.0 3.0 6.0,,,
,,,,,,,2.0 3.0 6.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,11.2.5 2.0 3.0 6.0,,,
,,,,,,,2.0 3.0 6.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,11.2.7 2.0 3.0 6.0,,,
,,,,,,,2.0 3.0 6.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,1.0 3.0 3.0,,,
,,,,,,,1.0 3.0 3.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,2.0 3.0 6.0,,,
,,,,,,,2.0 3.0 6.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,2.0 3.0 6.0,,,
,,,,,,,2.0 3.0 6.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,11.2.4 1.0 3.0 3.0 3.0,,,
,,,,,,,1.0 3.0 3.0 3.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,12.7.1 1.0 3.0 3.0,,,
,,,,,,,1.0 3.0 3.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,11.2.4 1.0 3.0 3.0 3.0,,,
,,,,,,,1.0 3.0 3.0 3.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,12.7.1 1.0 3.0 3.0,,,
,,,,,,,1.0 3.0 3.0,,,
,,,,,,,41920.0 43586.0 43952.0,,,
,,,,,,,7.2.2 3.0 5.0 15.0 10.0,,,
